millis,Back Left, Back Right, Front Left, Front Right
4771, -10.68, -0.03, 1.20, 0.29
4777, -10.68, -0.08, 1.21, 0.30
4783, -5.75, -0.08, 1.21, 0.30
4789, -5.75, -0.25, 1.26, 0.33
4794, -8.36, -0.25, 1.26, 0.33
4800, -8.36, -0.31, 1.32, 0.50
4805, -6.99, -0.31, 1.32, 0.50
4811, -6.99, -0.34, 1.47, 0.55
4816, -1.78, -0.34, 1.47, 0.55
4823, -1.78, -0.34, 1.35, 0.53
4832, 1.78, -0.20, 1.35, 0.50
4837, 1.78, -0.20, 1.27, 0.50
4842, -1.10, -0.20, 1.27, 0.50
4847, -1.10, -0.14, 1.26, 0.50
4852, -5.07, -0.14, 1.26, 0.50
4858, -5.07, 0.00, 1.17, 0.44
4864, -3.70, 0.00, 1.17, 0.44
4869, -3.70, 0.07, 1.16, 0.42
4874, 0.68, 0.07, 1.16, 0.42
4880, 0.68, 0.05, 1.20, 0.37
4885, 2.88, 0.05, 1.20, 0.37
4890, 2.88, 0.03, 1.23, 0.33
4895, 3.01, 0.03, 1.23, 0.33
4900, 3.01, 0.03, 1.31, 0.14
4905, 3.01, 0.05, 1.31, 0.14
4912, 3.29, 0.05, 1.26, 0.03
4917, 3.29, 0.07, 1.26, 0.03
4926, 2.60, -0.03, 1.08, -0.08
4930, 2.33, -0.03, 1.08, -0.08
4935, 2.33, -0.03, 0.89, -0.12
4941, 1.23, -0.05, 0.89, -0.12
4946, 1.23, -0.05, 0.79, -0.20
4952, 1.23, 0.01, 0.79, -0.20
4958, 1.64, 0.01, 0.71, -0.20
4963, 4.93, 0.18, 0.71, -0.20
4968, 4.93, 0.18, 0.63, -0.29
4973, 4.93, 0.33, 0.63, -0.29
4979, 5.48, 0.33, 0.52, -0.42
4984, 5.48, 0.41, 0.52, -0.42
4990, 5.07, 0.41, 0.46, -0.56
4996, 5.07, 0.46, 0.46, -0.56
5001, 6.71, 0.46, 0.38, -0.67
5006, 6.71, 0.38, 0.38, -0.67
5015, 5.21, 0.38, 0.29, -0.67
5020, 3.15, 0.37, 0.29, -0.67
5025, 3.15, 0.37, 0.27, -0.67
5030, 3.15, 0.42, 0.27, -0.67
5037, 0.00, 0.42, 0.30, -0.63
5042, 5.07, 0.56, 0.30, -0.63
5047, 5.07, 0.56, 0.44, -0.46
5052, 5.07, 0.63, 0.44, -0.46
5058, 9.18, 0.63, 0.55, -0.34
5063, 9.18, 0.49, 0.55, -0.34
5069, 10.14, 0.49, 0.53, -0.26
5074, 10.14, 0.33, 0.53, -0.26
5081, 9.45, 0.33, 0.61, -0.33
5086, 9.45, 0.33, 0.61, -0.33
5092, 9.73, 0.20, 0.63, -0.40
5097, 9.73, 0.20, 0.63, -0.40
5103, 9.73, 0.23, 0.49, -0.33
5111, 12.19, 0.26, 0.49, -0.33
5116, 12.19, 0.26, 0.34, -0.30
5123, 16.30, 0.19, 0.34, -0.30
